run_id,strategy,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
threshold_84,threshold,3,3.39147057077653,0.6161070292234705,8,33130.536039806306,100.0
threshold_91,threshold,1,3.3905940251530717,0.61698357484693,8,14371.782075459216,100.0
threshold_90,threshold,1,3.384380452163778,0.6231971478362223,8,14353.141356491335,100.0
threshold_89,threshold,1,3.402537101441819,0.6050404985581822,8,14407.611304325457,100.0
threshold_88,threshold,1,3.4002966196845565,0.6072809803154441,8,14400.88985905367,100.0
threshold_91,threshold,2,3.378346638790099,0.6292309612099016,8,23706.821991829514,100.0
threshold_90,threshold,2,3.365246164955223,0.6423314350447785,8,23648.879851357004,100.0
threshold_89,threshold,2,3.382111187317383,0.6254664126826175,8,23753.944866277605,100.0
threshold_88,threshold,2,3.361561486242813,0.6460161137571876,8,23685.57431778211,100.0
threshold_91,threshold,3,3.4076101546068367,0.5999674453931634,8,33129.65245565002,100.0
threshold_90,threshold,3,3.4012433511091285,0.6063342488908718,7,33152.60990468439,100.0
threshold_89,threshold,3,3.422025994568057,0.5855516054319442,7,33320.022849981775,100.0
threshold_88,threshold,3,3.384142237919129,0.6234353620808711,7,33138.0010315395,100.0
threshold_95,threshold,1,3.389785618521678,0.6177919814783225,8,14369.356855565034,100.0
threshold_94,threshold,1,3.3743959712497666,0.633181628750234,9,14223.1879137493,100.0
threshold_93,threshold,1,3.371584333676093,0.635993266323907,9,14214.753001028279,100.0
threshold_92,threshold,1,3.4015810073870347,0.6059965926129665,8,14404.743022161105,100.0
threshold_95,threshold,2,3.40357561206008,0.6040019879399214,8,23780.083691745276,100.0
threshold_94,threshold,2,3.3990200554484544,0.6085575445515464,7,23720.248080094665,100.0
threshold_93,threshold,2,3.4092762899594913,0.5983013100405087,7,23742.581870906753,100.0
